ID,personality,work_scenerio,field_interest,academics,analytics,general_science,Banking Finace Service and Finace,Agriculture,Automotive,Aerospace and Aviation,Beauty and Wellness Apparel,Electronics and Hardware,IT,Healthcare,Media and Entertainment,Life Sciences,Public Administration,Tourism and Hospitality,Legal Activities,"Sports, PE and Fitness",Judiciary,"Education, Training and research",Organised Retail,Artist
1,0,0,0,0,0,0,0.05,0.04,0.04,0.04,0.2,0.05,0.05,0.04,0.23,0.04,0.05,0.04,0.04,0.18,0.05,0.04,0.04,0.22
2,0,0,0,0,0,1,0.09,0.04,0.09,0.08,0.23,0.09,0.1,0.09,0.27,0.08,0.05,0.04,0.04,0.21,0.05,0.04,0.09,0.25
3,0,0,0,0,0,2,0.14,0.15,0.13,0.12,0.27,0.14,0.15,0.13,0.31,0.13,0.19,0.16,0.17,0.24,0.18,0.18,0.13,0.29
4,0,0,0,0,1,0,0.14,0.11,0.13,0.12,0.23,0.14,0.15,0.13,0.27,0.13,0.14,0.12,0.13,0.21,0.14,0.13,0.13,0.25
5,0,0,0,0,1,1,0.18,0.11,0.17,0.16,0.27,0.19,0.2,0.17,0.31,0.17,0.14,0.12,0.13,0.24,0.14,0.13,0.17,0.29
6,0,0,0,0,1,2,0.23,0.23,0.22,0.2,0.3,0.24,0.25,0.22,0.35,0.21,0.28,0.23,0.25,0.28,0.27,0.27,0.21,0.33
7,0,0,0,0,2,0,0.18,0.15,0.17,0.16,0.27,0.19,0.2,0.17,0.31,0.17,0.19,0.16,0.17,0.24,0.18,0.18,0.17,0.29
8,0,0,0,0,2,1,0.23,0.15,0.22,0.2,0.3,0.24,0.25,0.22,0.35,0.21,0.19,0.16,0.17,0.28,0.18,0.18,0.21,0.33
9,0,0,0,0,2,2,0.27,0.26,0.26,0.24,0.33,0.28,0.3,0.26,0.39,0.25,0.33,0.27,0.29,0.31,0.32,0.31,0.26,0.36
10,0,0,0,1,0,0,0.05,0.08,0.04,0.04,0.23,0.05,0.05,0.13,0.27,0.13,0.09,0.08,0.08,0.21,0.09,0.09,0.04,0.25
11,0,0,0,1,0,1,0.09,0.08,0.09,0.08,0.27,0.09,0.1,0.17,0.31,0.17,0.09,0.08,0.08,0.24,0.09,0.09,0.09,0.29
12,0,0,0,1,0,2,0.14,0.19,0.13,0.12,0.3,0.14,0.15,0.22,0.35,0.21,0.24,0.19,0.21,0.28,0.23,0.22,0.13,0.33
13,0,0,0,1,1,0,0.14,0.15,0.13,0.12,0.27,0.14,0.15,0.22,0.31,0.21,0.19,0.16,0.17,0.24,0.18,0.18,0.13,0.29
14,0,0,0,1,1,1,0.18,0.15,0.17,0.16,0.3,0.19,0.2,0.26,0.35,0.25,0.19,0.16,0.17,0.28,0.18,0.18,0.17,0.33
15,0,0,0,1,1,2,0.23,0.26,0.22,0.2,0.33,0.24,0.25,0.3,0.39,0.29,0.33,0.27,0.29,0.31,0.32,0.31,0.21,0.36
16,0,0,0,1,2,0,0.18,0.19,0.17,0.16,0.3,0.19,0.2,0.26,0.35,0.25,0.24,0.19,0.21,0.28,0.23,0.22,0.17,0.33
17,0,0,0,1,2,1,0.23,0.19,0.22,0.2,0.33,0.24,0.25,0.3,0.39,0.29,0.24,0.19,0.21,0.31,0.23,0.22,0.21,0.36
18,0,0,0,1,2,2,0.27,0.3,0.26,0.24,0.37,0.28,0.3,0.35,0.43,0.33,0.38,0.31,0.33,0.34,0.36,0.36,0.26,0.4
19,0,0,0,2,0,0,0.18,0.11,0.17,0.16,0.27,0.19,0.2,0.17,0.31,0.17,0.14,0.12,0.13,0.24,0.14,0.13,0.17,0.29
20,0,0,0,2,0,1,0.23,0.11,0.22,0.2,0.3,0.24,0.25,0.22,0.35,0.21,0.14,0.12,0.13,0.28,0.14,0.13,0.21,0.33
21,0,0,0,2,0,2,0.27,0.23,0.26,0.24,0.33,0.28,0.3,0.26,0.39,0.25,0.28,0.23,0.25,0.31,0.27,0.27,0.26,0.36
22,0,0,0,2,1,0,0.27,0.19,0.26,0.24,0.3,0.28,0.3,0.26,0.35,0.25,0.24,0.19,0.21,0.28,0.23,0.22,0.26,0.33
23,0,0,0,2,1,1,0.32,0.19,0.3,0.28,0.33,0.33,0.35,0.3,0.39,0.29,0.24,0.19,0.21,0.31,0.23,0.22,0.3,0.36
24,0,0,0,2,1,2,0.36,0.3,0.35,0.32,0.37,0.38,0.4,0.35,0.43,0.33,0.38,0.31,0.33,0.34,0.36,0.36,0.34,0.4
25,0,0,0,2,2,0,0.32,0.23,0.3,0.28,0.33,0.33,0.35,0.3,0.39,0.29,0.28,0.23,0.25,0.31,0.27,0.27,0.3,0.36
26,0,0,0,2,2,1,0.36,0.23,0.35,0.32,0.37,0.38,0.4,0.35,0.43,0.33,0.28,0.23,0.25,0.34,0.27,0.27,0.34,0.4
27,0,0,0,2,2,2,0.41,0.34,0.39,0.36,0.4,0.42,0.45,0.39,0.47,0.38,0.42,0.35,0.38,0.37,0.41,0.4,0.39,0.43
28,0,0,1,0,0,0,0.05,0.04,0.04,0.04,0.23,0.05,0.05,0.04,0.27,0.04,0.05,0.04,0.04,0.21,0.05,0.04,0.04,0.25
29,0,0,1,0,0,1,0.09,0.04,0.09,0.08,0.27,0.09,0.1,0.09,0.31,0.08,0.05,0.04,0.04,0.24,0.05,0.04,0.09,0.29
30,0,0,1,0,0,2,0.14,0.15,0.13,0.12,0.3,0.14,0.15,0.13,0.35,0.13,0.19,0.16,0.17,0.28,0.18,0.18,0.13,0.33
31,0,0,1,0,1,0,0.14,0.11,0.13,0.12,0.27,0.14,0.15,0.13,0.31,0.13,0.14,0.12,0.13,0.24,0.14,0.13,0.13,0.29
32,0,0,1,0,1,1,0.18,0.11,0.17,0.16,0.3,0.19,0.2,0.17,0.35,0.17,0.14,0.12,0.13,0.28,0.14,0.13,0.17,0.33
33,0,0,1,0,1,2,0.23,0.23,0.22,0.2,0.33,0.24,0.25,0.22,0.39,0.21,0.28,0.23,0.25,0.31,0.27,0.27,0.21,0.36
34,0,0,1,0,2,0,0.18,0.15,0.17,0.16,0.3,0.19,0.2,0.17,0.35,0.17,0.19,0.16,0.17,0.28,0.18,0.18,0.17,0.33
35,0,0,1,0,2,1,0.23,0.15,0.22,0.2,0.33,0.24,0.25,0.22,0.39,0.21,0.19,0.16,0.17,0.31,0.18,0.18,0.21,0.36
36,0,0,1,0,2,2,0.27,0.26,0.26,0.24,0.37,0.28,0.3,0.26,0.43,0.25,0.33,0.27,0.29,0.34,0.32,0.31,0.26,0.4
37,0,0,1,1,0,0,0.05,0.08,0.04,0.04,0.27,0.05,0.05,0.13,0.31,0.13,0.09,0.08,0.08,0.24,0.09,0.09,0.04,0.29
38,0,0,1,1,0,1,0.09,0.08,0.09,0.08,0.3,0.09,0.1,0.17,0.35,0.17,0.09,0.08,0.08,0.28,0.09,0.09,0.09,0.33
39,0,0,1,1,0,2,0.14,0.19,0.13,0.12,0.33,0.14,0.15,0.22,0.39,0.21,0.24,0.19,0.21,0.31,0.23,0.22,0.13,0.36
40,0,0,1,1,1,0,0.14,0.15,0.13,0.12,0.3,0.14,0.15,0.22,0.35,0.21,0.19,0.16,0.17,0.28,0.18,0.18,0.13,0.33
41,0,0,1,1,1,1,0.18,0.15,0.17,0.16,0.33,0.19,0.2,0.26,0.39,0.25,0.19,0.16,0.17,0.31,0.18,0.18,0.17,0.36
42,0,0,1,1,1,2,0.23,0.26,0.22,0.2,0.37,0.24,0.25,0.3,0.43,0.29,0.33,0.27,0.29,0.34,0.32,0.31,0.21,0.4
43,0,0,1,1,2,0,0.18,0.19,0.17,0.16,0.33,0.19,0.2,0.26,0.39,0.25,0.24,0.19,0.21,0.31,0.23,0.22,0.17,0.36
44,0,0,1,1,2,1,0.23,0.19,0.22,0.2,0.37,0.24,0.25,0.3,0.43,0.29,0.24,0.19,0.21,0.34,0.23,0.22,0.21,0.4
45,0,0,1,1,2,2,0.27,0.3,0.26,0.24,0.4,0.28,0.3,0.35,0.47,0.33,0.38,0.31,0.33,0.37,0.36,0.36,0.26,0.43
46,0,0,1,2,0,0,0.18,0.11,0.17,0.16,0.3,0.19,0.2,0.17,0.35,0.17,0.14,0.12,0.13,0.28,0.14,0.13,0.17,0.33
47,0,0,1,2,0,1,0.23,0.11,0.22,0.2,0.33,0.24,0.25,0.22,0.39,0.21,0.14,0.12,0.13,0.31,0.14,0.13,0.21,0.36
